"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"5996","Normal/Others","WS/MP189/2025-2026/145518-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","508000","01-May-2025"
"5997","Normal/Others","WS/MP189/2025-2026/145519-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","558800","01-May-2025"
"5998","Normal/Others","WS/MP189/2025-2026/145520-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","203124","01-May-2025"
"5999","Normal/Others","WS/MP189/2025-2026/145521-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","507810","01-May-2025"
"6000","Normal/Others","WS/MP189/2025-2026/145522-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","507810","01-May-2025"
"6001","Normal/Others","WS/MP189/2025-2026/145523-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","406400","01-May-2025"
"6002","Normal/Others","WS/MP189/2025-2026/145524-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","50800","01-May-2025"
"6003","Normal/Others","WS/MP189/2025-2026/145525-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","50800","01-May-2025"
"6004","Normal/Others","WS/MP189/2025-2026/145526-Installing hand pumps","Uttar Pradesh","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Installation of Handpumps at Raki, Mustafabad, Narwal, Usmanpur, Rampur Kasiha, Shukulpur, Pijari, Bachhwal, Raipurtae, Bhojpur, Kethola, Jainpur","04-Oct-2024","50800","01-May-2025"
"6005","Normal/Others","WS/MP107/2024-2025/145531-Construction of culverts and bridges","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Culvert construction work near village kashipur Of Gram Panchayat Majra","07-Oct-2024","1000000","25-Nov-2024"
