"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"6016","Normal/Others","WS/MP096/2025-2026/145598-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Chuttuvattam West Road/pathway, Ward No. 22, Angadipuram Panchayat","05-Oct-2024","430334","25-Apr-2025"
"6017","Normal/Others","WS/MP096/2024-2025/145599-Lighting of public spaces","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Setting of Medium mast light at Muthanthandu colony, Venthodampadi, Ward No.03, Kalikavu Panchayat (SC)","05-Oct-2024","318000","12-Dec-2024"
"6018","Normal/Others","WS/MP096/2024-2025/145600-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Karinthar – TP Colony road/pathway, Ward No. 13, Karulai Panchayat","05-Oct-2024","366609","12-Dec-2024"
"6019","Normal/Others","WS/MP096/2025-2026/145601-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Kakkad – Pottippara road/pathway, Ward no. 15, Pulamanthole Panchayat","05-Oct-2024","291576","26-Sep-2025"
"6020","Normal/Others","WS/MP096/2024-2025/145602-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Nambiarkkal – Kuthirammal NRA road /pathway, ward No. 27, Kanhangad Municipality","05-Oct-2024","574993","01-Feb-2025"
"6021","Normal/Others","WS/MP096/2024-2025/145604-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Valliyode Khuthubiyyath Masjid road /pathway, Ward no. 14, Chemmanad Panchayat","05-Oct-2024","777468","29-Nov-2024"
"6022","Normal/Others","WS/MP096/2025-2026/145605-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of additional rooms for magistrate court, Nilambur. Ward no. 33, Nilambur Municipality.","05-Oct-2024","286028","11-Apr-2025"
"6023","Normal/Others","WS/MP096/2024-2025/145608-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Pattakarimb ST Colony road /pathway, ward no.07, Amarambalam Panchayat (ST)","05-Oct-2024","1799264","12-Dec-2024"
"6024","Normal/Others","WS/MP096/2025-2026/145609-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Cheenipadi junction – Keeran colony road/pathway, Ward No. 12, Karulai Panchayat","05-Oct-2024","759612","31-Oct-2025"
"6025","Normal/Others","WS/MP096/2025-2026/145611-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Ramankuth under passage – construction of retaining wall and approach road work in Nilambur Municipality (Ward No.20)","05-Oct-2024","3946603","01-Jul-2025"
"6026","Normal/Others","WS/MP096/2026-2027/145613-Purchase of furniture and fixtures for educational purposes","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Setting up of Furniture for Govt. Model Pre-school, Jawahar colony, Ward No.06, Nilambur Municipality (SC)","05-Oct-2024","49000","04-Aug-2026"
"6027","Normal/Others","WS/MP096/2025-2026/145615-Purchase of furniture and fixtures for educational purposes","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Purchasing of Books for Govt. Model Pre-school, Jawahar colony, Ward No.06, Nilambur Municipality   (SC)","05-Oct-2024","30000","21-May-2025"
"6028","Normal/Others","NA-Construction of rooms and halls in school and colleges","Maharashtra","HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of rooms in Z P School at KAwardadi tq Sengaon","05-Oct-2024","2500000","NA"
"6029","Normal/Others","WS/MP108/2024-2025/145622-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","NA","05-Oct-2024","991290","03-Jan-2025"
"6030","Normal/Others","WS/MP18374/2024-2025/145657-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt. SC Hostel, Lalapet, Hyderabad","05-Oct-2024","990000","10-Jan-2025"
"6031","Normal/Others","WS/MP18374/2024-2025/145658-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt. SC Hostel, Secunderabad -1","05-Oct-2024","990000","28-Mar-2025"
"6032","Normal/Others","WS/MP18374/2024-2025/145659-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt. SC Hostel, Bollaram -2","05-Oct-2024","990000","10-Jan-2025"
"6033","Normal/Others","WS/MP18374/2024-2025/145660-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt. SC Girls Hostel, Addagutta","05-Oct-2024","990000","10-Jan-2025"
"6034","Normal/Others","WS/MP18374/2024-2025/145661-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt ST Hostel, Adikmet","05-Oct-2024","990000","10-Jan-2025"
"6035","Normal/Others","WS/MP18374/2024-2025/145662-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at ST College Boys Hostel, Langar House","05-Oct-2024","990000","01-Mar-2025"
"6036","Normal/Others","WS/MP18374/2024-2025/145663-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt ST Hostel, Begumpet","05-Oct-2024","990000","10-Jan-2025"
"6037","Normal/Others","WS/MP18374/2024-2025/145664-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt SC Hostel, Amberpet -1","05-Oct-2024","990000","28-Mar-2025"
"6038","Normal/Others","WS/MP18374/2024-2025/145665-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt SC Hostel, Kachiguda","05-Oct-2024","990000","28-Mar-2025"
"6039","Normal/Others","WS/MP18374/2024-2025/145666-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt SC College Hostel, MJ Market","05-Oct-2024","990000","10-Jan-2025"
"6040","Normal/Others","WS/MP18374/2024-2025/145667-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt SC College Hostel, Laal Bazar","05-Oct-2024","990000","10-Jan-2025"
"6041","Normal/Others","WS/MP18374/2024-2025/145668-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt ST Hostel, Balakampet","05-Oct-2024","990000","10-Jan-2025"
"6042","Normal/Others","WS/MP18374/2024-2025/145669-Purchase of non-conventional energy system and devices for community use","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","Providing 5KV Solar Power System at Govt. SC College Boys Hostel, Ameerpet","05-Oct-2024","990000","28-Mar-2025"
"6043","Normal/Others","WS/MP171/2025-2026/145681-Lighting of public spaces","Telangana","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Providing LED Himast Lights near Mandapam at 9th Ward, Gundepudi(V), Maripeda(M)","05-Oct-2024","175000","12-Sep-2025"
"6044","Normal/Others","WS/MP171/2025-2026/145682-Lighting of public spaces","Telangana","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Providing LED Himast Lights near Mandapam at 4th Ward, Gundepudi(V), Maripeda(M)","05-Oct-2024","175000","12-Sep-2025"
"6045","Normal/Others","WS/MP171/2025-2026/145683-Lighting of public spaces","Telangana","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Providing LED Himast Lights at 5th Ward,  Giripuram(V), Maripeda(M)","05-Oct-2024","175000","12-Sep-2025"
"6046","Normal/Others","WS/MP171/2025-2026/145684-Lighting of public spaces","Telangana","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Providing LED Himast Lights at 7th Ward, Giripuram(V), Maripeda(M)","05-Oct-2024","175000","12-Sep-2025"
"6047","Normal/Others","WS/MP171/2025-2026/145685-Lighting of public spaces","Telangana","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Providing LED Himast Lights at 1st Ward, Anepuram(V), Maripeda(M)","05-Oct-2024","175000","12-Sep-2025"
